project_name,town,flat_type,flat_model,lease_commence_date
BTO 2010,Bukit Panjang,4-ROOM,MODEL A,2010
BTO 2010,Bukit Panjang,5-ROOM,MODEL A,2010
BTO 2010,Woodlands,2-ROOM,MODEL A,2010
BTO 2010,Woodlands,3-ROOM,MODEL A,2010
BTO 2010,Woodlands,4-ROOM,MODEL A,2010
BTO 2010,Woodlands,5-ROOM,MODEL A,2010
BTO 2010,Sengkang,2-ROOM,MODEL A,2010
BTO 2010,Sengkang,3-ROOM,MODEL A,2010
BTO 2010,Sengkang,4-ROOM,MODEL A,2010
BTO 2010,Sengkang,5-ROOM,MODEL A,2010
BTO 2011,Punggol,2-ROOM,MODEL A,2011
BTO 2011,Punggol,3-ROOM,MODEL A,2011
BTO 2011,Punggol,4-ROOM,MODEL A,2011
BTO 2011,Punggol,5-ROOM,MODEL A,2011
BTO 2011,Choa Chu Kang,3-ROOM,MODEL A,2011
BTO 2011,Choa Chu Kang,4-ROOM,MODEL A,2011
BTO 2011,Choa Chu Kang,5-ROOM,MODEL A,2011
BTO 2011,Bukit Panjang,3-ROOM,MODEL A,2011
BTO 2011,Bukit Panjang,4-ROOM,MODEL A,2011
BTO 2011,Bukit Panjang,5-ROOM,MODEL A,2011
BTO 2011,Sembawang,2-ROOM,MODEL A,2011
BTO 2011,Sembawang,3-ROOM,MODEL A,2011
BTO 2011,Sembawang,4-ROOM,MODEL A,2011
BTO 2011,Sengkang,2-ROOM,MODEL A,2011
BTO 2011,Sengkang,3-ROOM,MODEL A,2011
BTO 2011,Sengkang,4-ROOM,MODEL A,2011
BTO 2011,Sengkang,5-ROOM,MODEL A,2011
BTO 2011,Yishun,3-ROOM,MODEL A,2011
BTO 2011,Yishun,4-ROOM,MODEL A,2011
BTO 2011,Yishun,5-ROOM,MODEL A,2011
BTO 2012,Punggol,2-ROOM,MODEL A,2012
BTO 2012,Punggol,3-ROOM,MODEL A,2012
BTO 2012,Punggol,4-ROOM,MODEL A,2012
BTO 2012,Punggol,5-ROOM,MODEL A,2012
BTO 2012,Choa Chu Kang,2-ROOM,MODEL A,2012
BTO 2012,Choa Chu Kang,3-ROOM,MODEL A,2012
BTO 2012,Choa Chu Kang,4-ROOM,MODEL A,2012
BTO 2012,Choa Chu Kang,5-ROOM,MODEL A,2012
BTO 2012,Woodlands,4-ROOM,MODEL A,2012
BTO 2012,Woodlands,5-ROOM,MODEL A,2012
BTO 2012,Sengkang,3-ROOM,MODEL A,2012
BTO 2012,Sengkang,4-ROOM,MODEL A,2012
BTO 2012,Sengkang,5-ROOM,MODEL A,2012
BTO 2012,Yishun,3-ROOM,MODEL A,2012
BTO 2012,Yishun,4-ROOM,MODEL A,2012
BTO 2012,Yishun,5-ROOM,MODEL A,2012
BTO 2013,Punggol,2-ROOM,MODEL A,2013
BTO 2013,Punggol,3-ROOM,MODEL A,2013
BTO 2013,Punggol,4-ROOM,MODEL A,2013
BTO 2013,Punggol,5-ROOM,MODEL A,2013
BTO 2013,Choa Chu Kang,3-ROOM,MODEL A,2013
BTO 2013,Choa Chu Kang,4-ROOM,MODEL A,2013
BTO 2013,Choa Chu Kang,5-ROOM,MODEL A,2013
BTO 2013,Woodlands,2-ROOM,MODEL A,2013
BTO 2013,Woodlands,3-ROOM,MODEL A,2013
BTO 2013,Woodlands,4-ROOM,MODEL A,2013
BTO 2013,Woodlands,5-ROOM,MODEL A,2013
BTO 2013,Sembawang,2-ROOM,MODEL A,2013
BTO 2013,Sembawang,3-ROOM,MODEL A,2013
BTO 2013,Sembawang,4-ROOM,MODEL A,2013
BTO 2013,Sembawang,5-ROOM,MODEL A,2013
BTO 2013,Sengkang,2-ROOM,MODEL A,2013
BTO 2013,Sengkang,3-ROOM,MODEL A,2013
BTO 2013,Sengkang,4-ROOM,MODEL A,2013
BTO 2013,Sengkang,5-ROOM,MODEL A,2013
BTO 2013,Yishun,2-ROOM,MODEL A,2013
BTO 2013,Yishun,3-ROOM,MODEL A,2013
BTO 2013,Yishun,4-ROOM,MODEL A,2013
BTO 2013,Yishun,5-ROOM,MODEL A,2013
BTO 2014,Bukit Batok,2-ROOM,MODEL A,2014
BTO 2014,Bukit Batok,3-ROOM,MODEL A,2014
BTO 2014,Bukit Batok,4-ROOM,MODEL A,2014
BTO 2014,Bukit Batok,5-ROOM,MODEL A,2014
BTO 2014,Punggol,2-ROOM,MODEL A,2014
BTO 2014,Punggol,3-ROOM,MODEL A,2014
BTO 2014,Punggol,4-ROOM,MODEL A,2014
BTO 2014,Punggol,5-ROOM,MODEL A,2014
BTO 2014,Woodlands,2-ROOM,MODEL A,2014
BTO 2014,Woodlands,3-ROOM,MODEL A,2014
BTO 2014,Woodlands,4-ROOM,MODEL A,2014
BTO 2014,Woodlands,5-ROOM,MODEL A,2014
BTO 2014,Sembawang,2-ROOM,MODEL A,2014
BTO 2014,Sembawang,3-ROOM,MODEL A,2014
BTO 2014,Sembawang,4-ROOM,MODEL A,2014
BTO 2014,Sembawang,5-ROOM,MODEL A,2014
BTO 2014,Sengkang,2-ROOM,MODEL A,2014
BTO 2014,Sengkang,3-ROOM,MODEL A,2014
BTO 2014,Sengkang,4-ROOM,MODEL A,2014
BTO 2014,Sengkang,5-ROOM,MODEL A,2014
BTO 2014,Yishun,2-ROOM,MODEL A,2014
BTO 2014,Yishun,3-ROOM,MODEL A,2014
BTO 2014,Yishun,4-ROOM,MODEL A,2014
BTO 2014,Yishun,5-ROOM,MODEL A,2014
BTO 2015,Bukit Batok,2-ROOM,MODEL A,2015
BTO 2015,Bukit Batok,3-ROOM,MODEL A,2015
BTO 2015,Bukit Batok,4-ROOM,MODEL A,2015
BTO 2015,Bukit Batok,5-ROOM,MODEL A,2015
BTO 2015,Punggol,2-ROOM,MODEL A,2015
BTO 2015,Punggol,3-ROOM,MODEL A,2015
BTO 2015,Punggol,4-ROOM,MODEL A,2015
BTO 2015,Punggol,5-ROOM,MODEL A,2015
BTO 2015,Sembawang,2-ROOM,MODEL A,2015
BTO 2015,Sembawang,3-ROOM,MODEL A,2015
BTO 2015,Sembawang,4-ROOM,MODEL A,2015
BTO 2015,Sembawang,5-ROOM,MODEL A,2015
BTO 2015,Sengkang,2-ROOM,MODEL A,2015
BTO 2015,Sengkang,3-ROOM,MODEL A,2015
BTO 2015,Sengkang,4-ROOM,MODEL A,2015
BTO 2015,Sengkang,5-ROOM,MODEL A,2015
BTO 2016,Bukit Panjang,2-ROOM,MODEL A,2016
BTO 2016,Bukit Panjang,3-ROOM,MODEL A,2016
BTO 2016,Bukit Panjang,4-ROOM,MODEL A,2016
BTO 2016,Bukit Panjang,5-ROOM,MODEL A,2016
BTO 2016,Punggol,2-ROOM,MODEL A,2016
BTO 2016,Punggol,3-ROOM,MODEL A,2016
BTO 2016,Punggol,4-ROOM,MODEL A,2016
BTO 2016,Punggol,5-ROOM,MODEL A,2016
BTO 2016,Sembawang,2-ROOM,MODEL A,2016
BTO 2016,Sembawang,3-ROOM,MODEL A,2016
BTO 2016,Sembawang,4-ROOM,MODEL A,2016
BTO 2016,Sembawang,5-ROOM,MODEL A,2016
BTO 2016,Yishun,2-ROOM,MODEL A,2016
BTO 2016,Yishun,3-ROOM,MODEL A,2016
BTO 2016,Yishun,4-ROOM,MODEL A,2016
BTO 2016,Yishun,5-ROOM,MODEL A,2016
BTO 2017,Bukit Batok,2-ROOM,MODEL A,2017
BTO 2017,Bukit Batok,3-ROOM,MODEL A,2017
BTO 2017,Bukit Batok,4-ROOM,MODEL A,2017
BTO 2017,Bukit Batok,5-ROOM,MODEL A,2017
BTO 2017,Choa Chu Kang,2-ROOM,MODEL A,2017
BTO 2017,Choa Chu Kang,3-ROOM,MODEL A,2017
BTO 2017,Choa Chu Kang,4-ROOM,MODEL A,2017
BTO 2017,Choa Chu Kang,5-ROOM,MODEL A,2017
BTO 2017,Punggol,2-ROOM,MODEL A,2017
BTO 2017,Punggol,3-ROOM,MODEL A,2017
BTO 2017,Punggol,4-ROOM,MODEL A,2017
BTO 2017,Punggol,5-ROOM,MODEL A,2017
BTO 2017,Sengkang,2-ROOM,MODEL A,2017
BTO 2017,Sengkang,3-ROOM,MODEL A,2017
BTO 2017,Sengkang,4-ROOM,MODEL A,2017
BTO 2017,Sengkang,5-ROOM,MODEL A,2017
BTO 2017,Woodlands,2-ROOM,MODEL A,2017
BTO 2017,Woodlands,3-ROOM,MODEL A,2017
BTO 2017,Woodlands,4-ROOM,MODEL A,2017
BTO 2017,Woodlands,5-ROOM,MODEL A,2017
BTO 2017,Yishun,2-ROOM,MODEL A,2017
BTO 2017,Yishun,3-ROOM,MODEL A,2017
BTO 2017,Yishun,4-ROOM,MODEL A,2017
BTO 2017,Yishun,5-ROOM,MODEL A,2017
BTO 2018,Jurong West,2-ROOM,MODEL A,2018
BTO 2018,Jurong West,3-ROOM,MODEL A,2018
BTO 2018,Jurong West,4-ROOM,MODEL A,2018
BTO 2018,Jurong West,5-ROOM,MODEL A,2018
BTO 2018,Punggol,2-ROOM,MODEL A,2018
BTO 2018,Punggol,3-ROOM,MODEL A,2018
BTO 2018,Punggol,4-ROOM,MODEL A,2018
BTO 2018,Punggol,5-ROOM,MODEL A,2018
BTO 2018,Sembawang,2-ROOM,MODEL A,2018
BTO 2018,Sembawang,3-ROOM,MODEL A,2018
BTO 2018,Sembawang,4-ROOM,MODEL A,2018
BTO 2018,Sembawang,5-ROOM,MODEL A,2018
BTO 2018,Sengkang,2-ROOM,MODEL A,2018
BTO 2018,Sengkang,3-ROOM,MODEL A,2018
BTO 2018,Sengkang,4-ROOM,MODEL A,2018
BTO 2018,Sengkang,5-ROOM,MODEL A,2018
BTO 2018,Tengah,2-ROOM,MODEL A,2018
BTO 2018,Tengah,3-ROOM,MODEL A,2018
BTO 2018,Tengah,4-ROOM,MODEL A,2018
BTO 2018,Tengah,5-ROOM,MODEL A,2018
BTO 2018,Yishun,2-ROOM,MODEL A,2018
BTO 2018,Yishun,3-ROOM,MODEL A,2018
BTO 2018,Yishun,4-ROOM,MODEL A,2018
BTO 2018,Yishun,5-ROOM,MODEL A,2018
BTO 2019,Punggol,2-ROOM,MODEL A,2019
BTO 2019,Punggol,3-ROOM,MODEL A,2019
BTO 2019,Punggol,4-ROOM,MODEL A,2019
BTO 2019,Punggol,5-ROOM,MODEL A,2019
BTO 2019,Sembawang,2-ROOM,MODEL A,2019
BTO 2019,Sembawang,3-ROOM,MODEL A,2019
BTO 2019,Sembawang,4-ROOM,MODEL A,2019
BTO 2019,Sembawang,5-ROOM,MODEL A,2019
BTO 2019,Tengah,2-ROOM,MODEL A,2019
BTO 2019,Tengah,3-ROOM,MODEL A,2019
BTO 2019,Tengah,4-ROOM,MODEL A,2019
BTO 2019,Tengah,5-ROOM,MODEL A,2019
BTO 2019,Woodlands,2-ROOM,MODEL A,2019
BTO 2019,Woodlands,3-ROOM,MODEL A,2019
BTO 2019,Woodlands,4-ROOM,MODEL A,2019
BTO 2019,Woodlands,5-ROOM,MODEL A,2019
BTO 2020,Bukit Batok,2-ROOM ,MODEL A,2020
BTO 2020,Bukit Batok,3-ROOM,MODEL A,2020
BTO 2020,Bukit Batok,4-ROOM,MODEL A,2020
BTO 2020,Bukit Batok,5-ROOM,MODEL A,2020
BTO 2020,Choa Chu Kang,2-ROOM ,MODEL A,2020
BTO 2020,Choa Chu Kang,3-ROOM,MODEL A,2020
BTO 2020,Choa Chu Kang,4-ROOM,MODEL A,2020
BTO 2020,Choa Chu Kang,5-ROOM,MODEL A,2020
BTO 2020,Sembawang,2-ROOM,MODEL A,2020
BTO 2020,Sembawang,3-ROOM,MODEL A,2020
BTO 2020,Sembawang,4-ROOM,MODEL A,2020
BTO 2020,Sembawang,5-ROOM,MODEL A,2020
BTO 2020,Tengah,2-ROOM,MODEL A,2020
BTO 2020,Tengah,3-ROOM,MODEL A,2020
BTO 2020,Tengah,4-ROOM,MODEL A,2020
BTO 2020,Tengah,5-ROOM,MODEL A,2020
BTO 2020,Woodlands,2-ROOM,MODEL A,2020
BTO 2020,Woodlands,3-ROOM,MODEL A,2020
BTO 2020,Woodlands,4-ROOM,MODEL A,2020
BTO 2020,Woodlands,5-ROOM,MODEL A,2020
BTO 2021,Hougang,2-ROOM ,MODEL A,2021
BTO 2021,Hougang,3-ROOM,MODEL A,2021
BTO 2021,Hougang,4-ROOM,MODEL A,2021
BTO 2021,Hougang,5-ROOM,MODEL A,2021
BTO 2021,Jurong East,2-ROOM ,MODEL A,2021
BTO 2021,Jurong East,3-ROOM,MODEL A,2021
BTO 2021,Jurong East,4-ROOM,MODEL A,2021
BTO 2021,Jurong East,5-ROOM,MODEL A,2021
BTO 2021,Jurong West,2-ROOM,MODEL A,2021
BTO 2021,Jurong West,3-ROOM,MODEL A,2021
BTO 2021,Jurong West,4-ROOM,MODEL A,2021
BTO 2021,Jurong West,5-ROOM,MODEL A,2021
BTO 2021,Tengah,2-ROOM,MODEL A,2021
BTO 2021,Tengah,3-ROOM,MODEL A,2021
BTO 2021,Tengah,4-ROOM,MODEL A,2021
BTO 2021,Tengah,5-ROOM,MODEL A,2021
BTO 2021,Woodlands,2-ROOM,MODEL A,2021
BTO 2021,Woodlands,3-ROOM,MODEL A,2021
BTO 2021,Woodlands,4-ROOM,MODEL A,2021
BTO 2021,Woodlands,5-ROOM,MODEL A,2021
BTO 2021,Yishun,2-ROOM,MODEL A,2021
BTO 2021,Yishun,3-ROOM,MODEL A,2021
BTO 2021,Yishun,4-ROOM,MODEL A,2021
BTO 2021,Yishun,5-ROOM,MODEL A,2021
BTO 2022,Bukit Batok,2-ROOM ,MODEL A,2022
BTO 2022,Bukit Batok,3-ROOM,MODEL A,2022
BTO 2022,Bukit Batok,4-ROOM,MODEL A,2022
BTO 2022,Bukit Batok,5-ROOM,MODEL A,2022
BTO 2022,Choa Chu Kang,2-ROOM ,MODEL A,2022
BTO 2022,Choa Chu Kang,3-ROOM,MODEL A,2022
BTO 2022,Choa Chu Kang,4-ROOM,MODEL A,2022
BTO 2022,Choa Chu Kang,5-ROOM,MODEL A,2022
BTO 2022,Jurong East,2-ROOM,MODEL A,2022
BTO 2022,Jurong East,3-ROOM,MODEL A,2022
BTO 2022,Jurong East,4-ROOM,MODEL A,2022
BTO 2022,Jurong East,5-ROOM,MODEL A,2022
BTO 2022,Jurong West,2-ROOM,MODEL A,2022
BTO 2022,Jurong West,3-ROOM,MODEL A,2022
BTO 2022,Jurong West,4-ROOM,MODEL A,2022
BTO 2022,Jurong West,5-ROOM,MODEL A,2022
BTO 2022,Tengah,2-ROOM,MODEL A,2022
BTO 2022,Tengah,3-ROOM,MODEL A,2022
BTO 2022,Tengah,4-ROOM,MODEL A,2022
BTO 2022,Tengah,5-ROOM,MODEL A,2022
BTO 2022,Woodlands,2-ROOM,MODEL A,2022
BTO 2022,Woodlands,3-ROOM,MODEL A,2022
BTO 2022,Woodlands,4-ROOM,MODEL A,2022
BTO 2022,Woodlands,5-ROOM,MODEL A,2022
BTO 2022,Yishun,2-ROOM,MODEL A,2022
BTO 2022,Yishun,3-ROOM,MODEL A,2022
BTO 2022,Yishun,4-ROOM,MODEL A,2022
BTO 2022,Yishun,5-ROOM,MODEL A,2022
BTO 2023,Bukit Panjang,2-ROOM,MODEL A,2023
BTO 2023,Bukit Panjang,3-ROOM,MODEL A,2023
BTO 2023,Bukit Panjang,4-ROOM,MODEL A,2023
BTO 2023,Bukit Panjang,5-ROOM,MODEL A,2023
BTO 2023,Choa Chu Kang,2-ROOM,MODEL A,2023
BTO 2023,Choa Chu Kang,3-ROOM,MODEL A,2023
BTO 2023,Choa Chu Kang,4-ROOM,MODEL A,2023
BTO 2023,Choa Chu Kang,5-ROOM,MODEL A,2023
BTO 2023,Hougang ,2-ROOM,MODEL A,2023
BTO 2023,Hougang,3-ROOM,MODEL A,2023
BTO 2023,Hougang,4-ROOM,MODEL A,2023
BTO 2023,Hougang,5-ROOM,MODEL A,2023
BTO 2023,Jurong West,2-ROOM,MODEL A,2023
BTO 2023,Jurong West,3-ROOM,MODEL A,2023
BTO 2023,Jurong West,4-ROOM,MODEL A,2023
BTO 2023,Jurong West,5-ROOM,MODEL A,2023
BTO 2023,Punggol,2-ROOM,MODEL A,2023
BTO 2023,Punggol,3-ROOM,MODEL A,2023
BTO 2023,Punggol,4-ROOM,MODEL A,2023
BTO 2023,Punggol,5-ROOM,MODEL A,2023
BTO 2023,Tengah,2-ROOM,MODEL A,2023
BTO 2023,Tengah,3-ROOM,MODEL A,2023
BTO 2023,Tengah,4-ROOM,MODEL A,2023
BTO 2023,Tengah,5-ROOM,MODEL A,2023
BTO 2023,Woodlands,2-ROOM,MODEL A,2023
BTO 2023,Woodlands,3-ROOM,MODEL A,2023
BTO 2023,Woodlands,4-ROOM,MODEL A,2023
BTO 2023,Woodlands,5-ROOM,MODEL A,2023
BTO 2024,Bukit Batok,2-ROOM,MODEL A,2024
BTO 2024,Bukit Batok,3-ROOM,MODEL A,2024
BTO 2024,Bukit Batok,4-ROOM,MODEL A,2024
BTO 2024,Bukit Batok,5-ROOM,MODEL A,2024
BTO 2024,Jurong West,2-ROOM,MODEL A,2024
BTO 2024,Jurong West,3-ROOM,MODEL A,2024
BTO 2024,Jurong West,4-ROOM,MODEL A,2024
BTO 2024,Jurong West,5-ROOM,MODEL A,2024
BTO 2024,Pasir Ris,2-ROOM,MODEL A,2024
BTO 2024,Pasir Ris,3-ROOM,MODEL A,2024
BTO 2024,Pasir Ris,4-ROOM,MODEL A,2024
BTO 2024,Pasir Ris,5-ROOM,MODEL A,2024
BTO 2024,Sengkang,2-ROOM,MODEL A,2024
BTO 2024,Sengkang,3-ROOM,MODEL A,2024
BTO 2024,Sengkang,4-ROOM,MODEL A,2024
BTO 2024,Sengkang,5-ROOM,MODEL A,2024
BTO 2024,Woodlands,2-ROOM,MODEL A,2024
BTO 2024,Woodlands,3-ROOM,MODEL A,2024
BTO 2024,Woodlands,4-ROOM,MODEL A,2024
BTO 2024,Woodlands,5-ROOM,MODEL A,2024
BTO 2024,Yishun,2-ROOM,MODEL A,2024
BTO 2024,Yishun,3-ROOM,MODEL A,2024
BTO 2024,Yishun,4-ROOM,MODEL A,2024
BTO 2024,Yishun,5-ROOM,MODEL A,2024
