station_name,planned_line,earliest_opening_year,notes
POTONG PASIR,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
PUNGGOL,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
QUEENSTOWN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
RAFFLES PLACE,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
REDHILL,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
SEMBAWANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
SENGKANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
SERANGOON,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
SIMEI,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
SOMERSET,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
TAMPINES,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
TANAH MERAH,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
TANJONG PAGAR,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
TIONG BAHRU,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
TOA PAYOH,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
WOODLANDS,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
WOODLEIGH,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
YEW TEE,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
YIO CHU KANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
YISHUN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
